No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
,,,,,,,,,,,,,,
276,Receive,18:47:46:914,Data frame,Standard frame,460,8,00,00,a6,00,cd,01,4d,01
277,Receive,18:47:46:918,Data frame,Standard frame,461,8,00,32,ff,3f,38,38,aa,00
278,Receive,18:47:46:921,Data frame,Standard frame,462,8,00,00,00,00,3a,00,00,00
279,Receive,18:47:46:926,Data frame,Standard frame,463,8,e8,03,e8,03,00,00,00,00
280,Receive,18:47:46:930,Data frame,Standard frame,464,8,53,ff,ff,ff,ff,73,19,19
281,Receive,18:47:46:933,Data frame,Standard frame,465,8,ff,ff,00,ff,ff,4e,4e,ff
282,Receive,18:47:46:937,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00
283,Receive,18:47:46:942,Data frame,Standard frame,467,8,00,00,00,00,00,00,00,00
284,Receive,18:47:46:946,Data frame,Standard frame,468,8,00,00,00,00,00,00,00,00
285,Receive,18:47:46:950,Data frame,Standard frame,469,8,00,00,00,00,00,00,00,00
286,Receive,18:47:46:955,Data frame,Standard frame,451,8,0a,ff,ff,3f,5b,7a,00,e0
