No,Direction,Time_Scale,Frame_Type,Frame_Format,Frame_ID,Data_Length,ByteA,ByteB,ByteC,ByteD,ByteE,ByteF,ByteG,ByteH,,
213,Receive,19:04:15:871,Data frame,Standard frame,251,8,7d,0a,00,00,00,00,00,00,,
214,Receive,19:04:15:875,Data frame,Standard frame,430,8,7e,32,0d,35,33,33,ff,0f,,
215,Receive,19:04:15:881,Data frame,Standard frame,440,8,86,13,50,15,00,00,00,00,,
216,Receive,19:04:15:886,Data frame,Standard frame,450,8,47,07,b5,04,ff,0f,ff,0f,,
217,Receive,19:04:15:893,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
218,Receive,19:04:15:899,Data frame,Standard frame,451,8,69,ff,ff,3f,60,7a,00,f0,,
219,Receive,19:04:15:904,Data frame,Standard frame,400,8,27,14,b4,ff,28,64,64,00,,
220,Receive,19:04:15:910,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
221,Receive,19:04:15:916,Data frame,Standard frame,460,8,8b,0b,a8,00,d2,01,2d,01,,
222,Receive,19:04:15:921,Data frame,Standard frame,461,8,00,32,fe,3f,33,33,28,00,,
223,Receive,19:04:15:927,Data frame,Standard frame,462,8,81,87,81,87,3a,00,00,00,,
224,Receive,19:04:15:933,Data frame,Standard frame,463,8,e8,03,e8,03,03,00,00,00,,
225,Receive,19:04:15:939,Data frame,Standard frame,464,8,4b,ff,ff,ff,ff,74,19,19,,
226,Receive,19:04:15:949,Data frame,Standard frame,465,8,b9,ff,00,ff,ff,4e,4e,ff,,
227,Receive,19:04:15:955,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00,,
228,Receive,19:04:15:961,Data frame,Standard frame,468,8,00,00,00,00,00,42,d9,3e,,
229,Receive,19:04:15:967,Data frame,Standard frame,410,8,00,ff,19,19,ff,b9,ff,ff,,
230,Receive,19:04:15:971,Data frame,Standard frame,430,8,7e,32,0d,35,33,33,ff,0f,,
231,Receive,19:04:15:976,Data frame,Standard frame,440,8,82,13,4c,15,00,00,00,00,,
232,Receive,19:04:15:982,Data frame,Standard frame,450,8,48,07,b5,04,ff,0f,ff,0f,,
233,Receive,19:04:15:988,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
234,Receive,19:04:15:994,Data frame,Standard frame,307,8,01,00,00,03,00,00,00,00,,
235,Receive,19:04:15:998,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
236,Receive,19:04:16:002,Data frame,Standard frame,460,8,8b,0b,a8,00,d2,01,2d,01,,
237,Receive,19:04:16:008,Data frame,Standard frame,461,8,00,32,fe,3f,33,33,28,00,,
238,Receive,19:04:16:014,Data frame,Standard frame,462,8,81,87,81,87,3a,00,00,00,,
239,Receive,19:04:16:019,Data frame,Standard frame,463,8,e8,03,e8,03,03,00,00,00,,
240,Receive,19:04:16:024,Data frame,Standard frame,464,8,4b,ff,ff,ff,ff,74,19,19,,
241,Receive,19:04:16:028,Data frame,Standard frame,465,8,b9,ff,00,ff,ff,4e,4e,ff,,
242,Receive,19:04:16:032,Data frame,Standard frame,466,8,00,00,00,00,00,00,00,00,,
243,Receive,19:04:16:038,Data frame,Standard frame,468,8,00,00,00,00,00,42,d9,3e,,
244,Receive,19:04:16:044,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
245,Receive,19:04:16:051,Data frame,Standard frame,251,8,7d,0a,00,00,00,00,00,00,,
246,Receive,19:04:16:056,Data frame,Standard frame,430,8,7e,32,0d,35,33,33,ff,0f,,
247,Receive,19:04:16:059,Data frame,Standard frame,440,8,82,13,4c,15,00,00,00,00,,
248,Receive,19:04:16:065,Data frame,Standard frame,450,8,48,07,b7,04,ff,0f,f9,0f,,
249,Receive,19:04:16:071,Data frame,Standard frame,201,8,00,00,00,00,00,00,8b,0b,,
250,Receive,19:04:16:077,Data frame,Standard frame,422,8,00,04,40,10,28,00,00,0a,,
251,Receive,19:04:16:082,Data frame,Standard frame,423,8,00,00,00,00,00,00,00,00,,
252,Receive,19:04:16:088,Data frame,Standard frame,460,8,8c,0b,a8,00,d2,01,2e,01,,
253,Receive,19:04:16:094,Data frame,Standard frame,461,8,00,32,fe,3f,33,33,28,00,,
254,Receive,19:04:16:100,Data frame,Standard frame,462,8,81,87,81,87,3a,00,00,00,,
